CustomerID,Name,DOB,Gender,Country,Segment,CustomerSince
CUST0001,Customer Name 1,2003-07-07,F,UK,Youth,2025-08-10
CUST0002,Customer Name 2,1967-07-30,M,UK,SME,2021-10-03
CUST0003,Customer Name 3,1961-09-13,F,Singapore,Corporate,2024-12-10
CUST0004,Customer Name 4,1978-09-18,F,USA,SME,2016-09-27
CUST0005,Customer Name 5,1976-08-30,F,Australia,Youth,2015-02-15
CUST0006,Customer Name 6,1975-03-10,F,Canada,Youth,2023-09-14
CUST0007,Customer Name 7,1969-06-30,F,Germany,Corporate,2021-05-14
CUST0008,Customer Name 8,1966-12-22,Other,India,Youth,2024-07-20
CUST0009,Customer Name 9,1997-02-10,M,USA,SME,2025-02-06
CUST0010,Customer Name 10,1965-11-30,M,France,Corporate,2025-05-12
CUST0011,Customer Name 11,2000-03-07,F,Australia,SME,2019-10-23
CUST0012,Customer Name 12,1988-09-16,F,India,Corporate,2020-01-29
CUST0013,Customer Name 13,1962-02-28,Other,Canada,Youth,2016-11-02
CUST0014,Customer Name 14,1962-01-10,F,UK,VIP,2023-03-13
CUST0015,Customer Name 15,1966-05-17,F,France,Corporate,2016-02-01
CUST0016,Customer Name 16,1974-11-17,Other,UK,Corporate,2020-09-20
CUST0017,Customer Name 17,1975-10-31,F,USA,VIP,2019-09-15
CUST0018,Customer Name 18,1994-05-22,Other,India,Youth,2025-11-24
CUST0019,Customer Name 19,2000-12-19,M,Singapore,SME,2020-07-13
CUST0020,Customer Name 20,1961-10-21,F,USA,Retail,2019-09-17
CUST0021,Customer Name 21,1998-03-11,M,India,VIP,2019-06-11
CUST0022,Customer Name 22,1973-07-13,F,France,Retail,2020-01-31
CUST0023,Customer Name 23,2004-03-22,F,Germany,Youth,2018-03-16
CUST0024,Customer Name 24,1997-01-30,F,USA,Corporate,2017-07-20
CUST0025,Customer Name 25,1988-07-19,M,France,Corporate,2023-10-20
CUST0026,Customer Name 26,1975-01-01,F,UK,Youth,2019-02-02
CUST0027,Customer Name 27,1990-07-27,Other,France,SME,2015-12-19
CUST0028,Customer Name 28,2000-02-06,M,Australia,SME,2025-03-17
CUST0029,Customer Name 29,1978-12-06,Other,UK,Youth,2021-11-15
CUST0030,Customer Name 30,1960-06-10,Other,France,Youth,2020-06-08
CUST0031,Customer Name 31,1970-11-12,F,Canada,Youth,2017-05-19
CUST0032,Customer Name 32,1988-10-04,F,USA,Youth,2015-06-08
CUST0033,Customer Name 33,1983-02-25,M,France,Youth,2023-06-18
CUST0034,Customer Name 34,1978-11-28,M,France,Youth,2020-01-11
CUST0035,Customer Name 35,1970-07-31,Other,Canada,Corporate,2019-06-01
CUST0036,Customer Name 36,1974-08-26,F,Singapore,Retail,2022-02-13
CUST0037,Customer Name 37,1982-11-27,Other,Singapore,SME,2021-11-19
CUST0038,Customer Name 38,1966-12-15,F,Canada,Retail,2021-08-09
CUST0039,Customer Name 39,1966-04-24,Other,Canada,Corporate,2015-08-08
CUST0040,Customer Name 40,1985-11-08,F,UK,VIP,2024-12-01
CUST0041,Customer Name 41,1966-07-31,M,Singapore,Retail,2024-09-24
CUST0042,Customer Name 42,1984-06-05,M,USA,VIP,2018-03-26
CUST0043,Customer Name 43,1983-05-29,F,Germany,Corporate,2020-11-02
CUST0044,Customer Name 44,2001-01-30,Other,Australia,SME,2018-10-13
CUST0045,Customer Name 45,1977-12-31,M,USA,VIP,2024-02-05
CUST0046,Customer Name 46,1962-12-15,F,Australia,Corporate,2025-11-10
CUST0047,Customer Name 47,1991-04-07,F,USA,Youth,2023-02-04
CUST0048,Customer Name 48,1996-06-28,Other,France,SME,2021-02-05
CUST0049,Customer Name 49,1968-06-29,F,Germany,Youth,2023-08-19
CUST0050,Customer Name 50,1985-10-04,M,India,SME,2020-02-09
CUST0051,Customer Name 51,1965-05-12,M,Singapore,SME,2017-11-22
CUST0052,Customer Name 52,1997-07-26,Other,Germany,Retail,2024-06-30
CUST0053,Customer Name 53,1979-12-13,Other,USA,SME,2018-01-30
CUST0054,Customer Name 54,2002-10-11,M,Australia,Retail,2019-12-31
CUST0055,Customer Name 55,2002-02-02,Other,Germany,VIP,2016-08-29
CUST0056,Customer Name 56,1984-08-10,M,France,SME,2023-01-04
CUST0057,Customer Name 57,1999-04-16,F,USA,VIP,2017-03-06
CUST0058,Customer Name 58,1973-01-31,Other,France,SME,2019-05-27
CUST0059,Customer Name 59,1964-09-24,M,Germany,Retail,2024-07-05
CUST0060,Customer Name 60,1963-02-12,Other,UK,Youth,2018-02-11
CUST0061,Customer Name 61,2004-12-30,F,France,SME,2020-09-16
CUST0062,Customer Name 62,1975-07-05,M,India,Corporate,2016-07-08
CUST0063,Customer Name 63,1979-09-10,M,India,Youth,2018-10-13
CUST0064,Customer Name 64,1965-06-06,M,Singapore,Retail,2021-01-16
CUST0065,Customer Name 65,1975-11-04,F,India,Corporate,2018-10-19
CUST0066,Customer Name 66,1966-11-15,M,France,VIP,2020-03-23
CUST0067,Customer Name 67,1985-11-13,Other,Canada,Retail,2022-02-25
CUST0068,Customer Name 68,1978-12-01,M,Singapore,Youth,2020-08-20
CUST0069,Customer Name 69,1990-11-08,F,Singapore,VIP,2021-04-28
CUST0070,Customer Name 70,2003-04-05,Other,France,VIP,2019-06-08
CUST0071,Customer Name 71,1984-10-28,F,Germany,Retail,2024-12-17
CUST0072,Customer Name 72,1971-01-25,Other,UK,Youth,2020-01-02
CUST0073,Customer Name 73,1985-03-10,Other,India,Retail,2022-11-21
CUST0074,Customer Name 74,1984-03-05,F,UK,Corporate,2017-01-01
CUST0075,Customer Name 75,1974-04-04,F,India,Corporate,2023-01-02
CUST0076,Customer Name 76,2005-08-09,F,Canada,SME,2015-11-30
CUST0077,Customer Name 77,1978-03-02,F,Germany,VIP,2025-10-17
CUST0078,Customer Name 78,2004-02-06,M,France,SME,2024-12-05
CUST0079,Customer Name 79,1964-11-09,F,UK,Youth,2024-11-14
CUST0080,Customer Name 80,2001-06-14,Other,UK,Corporate,2025-07-23
CUST0081,Customer Name 81,2003-03-18,M,France,SME,2016-03-18
CUST0082,Customer Name 82,1971-08-24,F,Germany,Corporate,2023-01-13
CUST0083,Customer Name 83,1996-05-07,M,Germany,Corporate,2018-04-23
CUST0084,Customer Name 84,1976-08-28,Other,Singapore,Corporate,2023-07-07
CUST0085,Customer Name 85,1971-02-13,Other,India,Retail,2017-01-14
CUST0086,Customer Name 86,1991-06-16,Other,Canada,SME,2021-06-29
CUST0087,Customer Name 87,1985-10-27,M,Singapore,VIP,2024-01-06
CUST0088,Customer Name 88,1978-05-15,M,France,SME,2020-01-28
CUST0089,Customer Name 89,2003-07-21,F,Singapore,VIP,2022-01-10
CUST0090,Customer Name 90,1997-11-25,F,USA,SME,2015-12-02
CUST0091,Customer Name 91,1974-12-11,F,France,SME,2017-07-25
CUST0092,Customer Name 92,1982-01-25,Other,India,Corporate,2017-05-03
CUST0093,Customer Name 93,1963-10-22,F,Germany,VIP,2018-05-29
CUST0094,Customer Name 94,1975-08-03,M,USA,VIP,2020-10-30
CUST0095,Customer Name 95,1962-03-08,F,UK,VIP,2021-12-17
CUST0096,Customer Name 96,1981-06-19,Other,India,SME,2024-09-08
CUST0097,Customer Name 97,1987-04-20,F,France,VIP,2022-10-14
CUST0098,Customer Name 98,1978-03-21,Other,Canada,SME,2017-06-08
CUST0099,Customer Name 99,1964-07-03,Other,USA,Retail,2020-05-19
CUST0100,Customer Name 100,1974-05-11,Other,Canada,Corporate,2018-01-25
CUST0101,Customer Name 101,1998-08-06,F,Singapore,Youth,2016-05-17
CUST0102,Customer Name 102,1981-05-31,M,USA,Retail,2023-04-18
CUST0103,Customer Name 103,1974-06-20,F,Canada,VIP,2020-08-28
CUST0104,Customer Name 104,2004-08-08,Other,UK,Corporate,2025-09-26
CUST0105,Customer Name 105,1993-12-21,F,Australia,Corporate,2018-01-03
CUST0106,Customer Name 106,1986-12-03,F,France,Corporate,2020-05-01
CUST0107,Customer Name 107,2003-09-30,F,France,Corporate,2025-10-17
CUST0108,Customer Name 108,1991-03-23,Other,India,VIP,2015-12-27
CUST0109,Customer Name 109,1969-09-21,Other,USA,Corporate,2015-01-30
CUST0110,Customer Name 110,1978-01-09,F,Canada,Youth,2022-09-09
CUST0111,Customer Name 111,1969-07-02,F,Singapore,Youth,2019-08-27
CUST0112,Customer Name 112,1976-10-12,F,France,Corporate,2018-07-25
CUST0113,Customer Name 113,1998-03-14,M,France,SME,2017-11-13
CUST0114,Customer Name 114,1996-09-04,Other,Singapore,VIP,2024-10-20
CUST0115,Customer Name 115,1977-11-17,M,UK,Youth,2017-09-11
CUST0116,Customer Name 116,1999-10-12,Other,Canada,Youth,2023-05-01
CUST0117,Customer Name 117,1989-02-25,F,France,Youth,2016-07-01
CUST0118,Customer Name 118,1999-09-16,M,India,Retail,2017-03-15
CUST0119,Customer Name 119,1987-03-07,F,France,Retail,2025-06-15
CUST0120,Customer Name 120,1984-08-19,M,Germany,Youth,2022-05-18
CUST0121,Customer Name 121,1974-12-04,F,Australia,SME,2025-10-11
CUST0122,Customer Name 122,1969-05-31,Other,UK,VIP,2022-04-22
CUST0123,Customer Name 123,1994-09-03,F,USA,VIP,2021-11-11
CUST0124,Customer Name 124,1993-08-01,Other,Canada,Youth,2022-04-19
CUST0125,Customer Name 125,1966-03-09,F,Singapore,Youth,2023-02-14
CUST0126,Customer Name 126,1963-03-17,F,India,VIP,2021-07-09
CUST0127,Customer Name 127,1967-06-18,Other,UK,SME,2015-01-30
